id,user_id,name,type,icon,color,is_system,created_at,updated_at
10701131-3011-4efa-b714-3753d66370fd,72ea62e1-6e68-4797-8f11-4dc748a68682,Học tập,EXPENSE,category,#6B7280,false,2025-12-25 17:11:22.523335+00,2025-12-25 17:11:22.523335+00
25edcea1-b992-4ac6-baa6-4eed12ed671c,72ea62e1-6e68-4797-8f11-4dc748a68682,"Chợ, siêu thị",EXPENSE,,,false,2025-12-17 12:48:28.192806+00,2025-12-17 12:48:28.192806+00
2c6ce9f3-6101-422c-8875-3be42499a63f,72ea62e1-6e68-4797-8f11-4dc748a68682,Từ thiện,EXPENSE,,,false,2025-12-17 12:52:10.338963+00,2025-12-17 12:52:10.338963+00
3b8371ae-0038-4c3c-8c6c-8d3bda22fb2f,72ea62e1-6e68-4797-8f11-4dc748a68682,Hóa đơn,EXPENSE,,,false,2025-12-24 14:07:30.103437+00,2025-12-24 14:07:30.103437+00
3d1bf0c2-5960-4cb3-b421-8ad3b53a771f,72ea62e1-6e68-4797-8f11-4dc748a68682,Thu nhập phụ,INCOME,,,false,2025-12-04 16:55:14.120248+00,2025-12-04 16:55:14.120248+00
4f6cef8a-e1a1-4bd7-a0ae-51a86bd3475f,72ea62e1-6e68-4797-8f11-4dc748a68682,Lương,INCOME,,,false,2025-12-04 16:21:03.963566+00,2025-12-04 16:21:03.963566+00
584434fa-048f-47df-bf46-5cb3e1279370,72ea62e1-6e68-4797-8f11-4dc748a68682,Ăn uống,EXPENSE,,,false,2025-12-04 16:15:03.034123+00,2025-12-04 16:15:03.034123+00
5e3d2c7f-c151-44e3-929f-e8a43cca12f7,72ea62e1-6e68-4797-8f11-4dc748a68682,Mua sắm,EXPENSE,,,false,2025-12-04 19:17:57.386609+00,2025-12-04 19:17:57.386609+00
6b5429d8-dec1-455a-8b15-56495da34d1e,72ea62e1-6e68-4797-8f11-4dc748a68682,Nhà cửa,EXPENSE,,,false,2025-12-17 12:47:29.237118+00,2025-12-17 12:47:29.237118+00
9e10f478-adcb-4711-b44f-91dc5c119512,72ea62e1-6e68-4797-8f11-4dc748a68682,Thưởng,INCOME,,,false,2025-12-04 19:31:02.735411+00,2025-12-04 19:31:02.735411+00
ad9b8d9a-051d-44b8-9830-b22be7582299,72ea62e1-6e68-4797-8f11-4dc748a68682,Khác,INCOME,,,false,2025-12-17 12:49:24.405484+00,2025-12-17 12:49:24.405484+00
af35a921-c453-420e-8fc2-207376d838bc,72ea62e1-6e68-4797-8f11-4dc748a68682,Người thân,EXPENSE,,,false,2025-12-17 12:30:28.318918+00,2025-12-17 12:30:28.318918+00
f7080c5c-d20b-486c-b7ef-de23ccd673ee,72ea62e1-6e68-4797-8f11-4dc748a68682,Sức khỏe,EXPENSE,,,false,2025-12-04 16:46:03.613114+00,2025-12-04 16:46:03.613114+00
f7790789-1ec8-40b5-9459-88017ecbaa7e,72ea62e1-6e68-4797-8f11-4dc748a68682,Di chuyển,EXPENSE,,,false,2025-12-17 12:48:56.512163+00,2025-12-17 12:48:56.512163+00
